sfc_wspd,sfc_wdir,t_slow,rh_slow,t_fast,dewpoint,der_rh,pressure,compass_dir,gps_date,gps_time,lat,lon,gps_alt,gps_spd,gps_dir,panel_temp,qc1,qc2,qc3,qc4
0.588,80.4,7.8,50.7,7.838,-1.782,50.57,975.68,256.5,10325,132425,35.24552,-97.47582,382.1,0.0,0.0,12.07,0,1,0,0
0.686,78.98,7.8,50.7,7.89,-1.782,50.39,975.68,256.5,10325,132426,35.24552,-97.47582,382.1,0.0,0.0,12.07,0,1,0,0
0.686,74.74,7.8,50.7,7.939,-1.782,50.23,975.68,256.6,10325,132427,35.24552,-97.47582,382.1,0.0,0.0,12.07,0,1,0,0
0.686,77.4,7.8,50.6,7.928,-1.809,50.17,975.68,256.6,10325,132428,35.24552,-97.47582,382.1,0.0,0.0,12.07,0,1,0,0
0.588,79.46,7.8,50.6,7.855,-1.809,50.42,975.68,256.6,10325,132429,35.24552,-97.47582,382.1,0.0,0.0,12.07,0,1,0,0
0.686,79.52,7.8,50.5,7.78,-1.835,50.57,975.68,256.6,10325,132430,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.588,79.47,7.8,50.5,7.719,-1.835,50.79,975.68,256.6,10325,132431,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.588,79.22,7.8,50.5,7.676,-1.835,50.94,975.67,256.6,10325,132432,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.588,78.67,7.8,50.4,7.634,-1.862,50.98,975.68,256.6,10325,132433,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.49,77.29,7.8,50.4,7.594,-1.862,51.12,975.67,256.6,10325,132434,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.588,75.89,7.8,50.4,7.572,-1.862,51.19,975.67,256.5,10325,132435,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.49,72.56,7.8,50.4,7.575,-1.862,51.18,975.67,256.5,10325,132436,35.24552,-97.47582,382.1,0.0,0.0,12.06,0,1,0,0
0.392,70.24,7.8,50.3,7.62,-1.889,50.93,975.67,256.6,10325,132437,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.49,70.03,7.8,50.3,7.784,-1.889,50.36,975.67,256.5,10325,132438,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,70.06,7.8,50.3,7.95,-1.889,49.79,975.67,256.6,10325,132439,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,70.47,7.8,50.2,8.01,-1.916,49.48,975.67,256.5,10325,132440,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,70.15,7.8,50.2,7.973,-1.916,49.62,975.67,256.5,10325,132441,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.49,69.44,7.8,50.2,7.905,-1.916,49.85,975.67,256.5,10325,132442,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,70.7,7.8,50.2,7.854,-1.916,50.02,975.67,256.5,10325,132443,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,71.93,7.8,50.1,7.826,-1.943,50.02,975.67,256.4,10325,132444,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.49,72.76,7.8,50.1,7.907,-1.943,49.74,975.67,256.5,10325,132445,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,74.64,7.8,50.1,7.979,-1.943,49.5,975.68,256.5,10325,132446,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.49,77.54,7.8,50.1,7.95,-1.943,49.6,975.68,256.4,10325,132447,35.24552,-97.47582,382.0,0.0,0.0,12.06,0,1,0,0
0.392,78.37,7.8,50.1,7.881,-1.943,49.83,975.68,256.7,10325,132448,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,78.3,7.8,50.1,7.809,-1.943,50.07,975.68,256.6,10325,132449,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,77.66,7.8,50.1,7.752,-1.943,50.27,975.68,256.4,10325,132450,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,76.15,7.8,50.0,7.719,-1.97,50.28,975.68,256.6,10325,132451,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,72.53,7.8,50.0,7.701,-1.97,50.34,975.68,256.5,10325,132452,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,69.39,7.8,50.0,7.676,-1.97,50.43,975.68,256.4,10325,132453,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,68.6,7.8,50.0,7.653,-1.97,50.51,975.68,256.5,10325,132454,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,67.72,7.8,50.0,7.642,-1.97,50.55,975.68,256.5,10325,132455,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,67.45,7.8,50.0,7.626,-1.97,50.6,975.68,256.5,10325,132456,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,66.61,7.8,50.0,7.61,-1.97,50.66,975.68,256.4,10325,132457,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,65.12,7.8,49.9,7.607,-1.997,50.56,975.68,256.5,10325,132458,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,65.78,7.8,49.9,7.594,-1.997,50.61,975.68,256.4,10325,132459,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.49,66.07,7.8,49.9,7.567,-1.997,50.71,975.68,256.5,10325,132500,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,64.81,7.8,49.9,7.563,-1.997,50.72,975.68,256.4,10325,132501,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,62.06,7.8,49.9,7.592,-1.997,50.62,975.68,256.4,10325,132502,35.24552,-97.47582,382.0,0.0,0.0,12.05,0,1,0,0
0.392,53.14,7.8,49.9,7.623,-1.997,50.51,975.68,256.5,10325,132503,35.24552,-97.47582,381.9,0.0,0.0,12.05,0,1,0,0
0.392,44.25,7.8,49.9,7.643,-1.997,50.44,975.68,256.4,10325,132504,35.24552,-97.47582,381.9,0.0,0.0,12.05,0,1,0,0
0.392,39.66,7.8,49.9,7.622,-1.997,50.52,975.68,256.5,10325,132505,35.24552,-97.47582,381.9,0.0,0.0,12.05,0,1,0,0
0.294,41.04,7.8,49.9,7.658,-1.997,50.39,975.68,256.4,10325,132506,35.24552,-97.47582,381.9,0.0,0.0,12.05,0,1,0,0
0.294,46.22,7.8,49.9,7.674,-1.997,50.33,975.68,256.5,10325,132507,35.24552,-97.47582,381.9,0.0,0.0,12.05,0,1,0,0
